custom_id,id,upc,brand,groupname,title,price,shelfdescr,shortdescr,longdescr,modelno,shipweight,dimensions
604,13213255,66291901652.0,V7,Electronics - General,V7 V7-DV4141-06 6 Replacement M M DVI Cable by Belkin,10.88,V7 DVI cables are designed and manufactured to meet and exceed all category specifications to ensure excellent performance.  Connectors contacts Nickel plated,V7 6 Replacement M M DVI Cable by Belkin - V7-DV4141-06,V7 DVI cables are designed and manufactured to meet and exceed all category specifications to ensure excellent performance.  Connectors contacts Nickel plated,V7-DV4141-06,0.35,9.675 x 7.65 x 0.675 inches
608,14250375,64109211359.0,Draper,Electronics - General,Draper High Contrast Grey Signature Series E Electric Screen  - WideScreen 190 diagonal,3518.45,Signature Series E ceiling-recessed electric projection screen. Independently motorized aluminum ceiling closure disappears into the white case when screen is lowered. Hinges are completely concealed. The closure is supported for its entire length preventing the possibility of sag. Features -Clean appearance of a ceiling-recessed screen..-Black borders standard on all formats optional on AV ..-Depending on surface available in sizes through 16 x 16 and 240 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material High Contrast Grey Grey textile backed surface offers excellent resolution while enhancing the blacks of LCD and DLP projected images even as whites and lighter colors are maintained. Performs well in ambient light condition. High Contrast Grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . Available on most non-tensioned motorized and manual screens seamless in sizes up to 8  in height. Peak gain of 0.8.,,DR4349Signature Series E ceiling-recessed electric projection screen. Independently motorized aluminum ceiling closure disappears into the white case when screen is lowered. Hinges are completely concealed. The closure is supported for its entire length preventing the possibility of sag.   Features Clean appearance of a ceiling-recessed screen. Black borders standard on all formats optional on AV . Depending on surface available in sizes through 16 x 16 and 240 NTSC. Custom sizes available. Warranted for one year against defects in materials and workmanship.    Screen Material High Contrast Grey  Grey textile backed surface offers excellent resolution while enhancing the blacks of LCD and DLP projected images even as whites and lighter colors are maintained. Performs well in ambient light condition. High Contrast Grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . Available on most non-tensioned motorized and manual screens seamless in sizes up to 8 in height. Peak gain of 0.8.,111554,278.0,
614,14915995,2571908414.0,Buddy Products,Stationery &amp; Office Machinery,Buddy Products 4-Pocket Wall File with Supplies Organizer Black,69.94,Organizes files and accessories Textured steel file holds materials up to 1 2  deep,The Buddy Products 4-Pocket Wall File organizes your files and supplies. Its textured steel file holds materials up to 1 2  deep. The Buddy Products 4-Pocket Wall File features radius cut-outs that offer easy access to pocket contents. The top of the wall file has divided sections to hold paper clips staple removers rubber bands and more.,Buddy Products 4-Pocket Wall File with Supplies Organizer Black Organizes files and accessories Textured steel file holds materials up to 1 2 H,8414,7.5,
615,17032718,63664499755.0,Atrend,Car Stereos,Atrend-Bbox A361-12CP B Box Series  Speaker,56.88,For Ford F150 Super Crew Cab 2009 and up MDF constructed Completely glued and braced,The Atrend-Bbox A361-12CP B Box Series Single Speaker fits Ford F150 Super Crew Cabs 2009 and up. It has been custom built for under seat applications so you can save space.,Atrend-Bbox A361-12CP B Box Series  Speaker For Ford F150 Super Crew Cab 2009 and up Completely carpeted 0.75  speaker baffles Completely rounded edges Custom built for under seat applications Screwed down terminal cups MDF constructed Completely glued and braced,A361-12CP,20.4,26.75 x 16.5 x 10.75 inches
616,17133243,84597302062.0,Global Marketing,Networking,TP-Link Network TL-SG1024D 24 Port Gigabit Desktop Switch,116.0,Saves power up to 20 percent Supports MAC address auto-learning and auto-aging Non-blocking switching architecture,The TP-Link Network TL-SG1024D 24 Port Gigabit Desktop Switch provides an easy way to make the transition to Gigabit Ethernet. All 16 ports support auto MDI MDIX no need to worry about the cable type simply plug and play. The TP-Link Network TL-SG1024D 24 Port Gigabit Desktop Switch can save up to 40 percent of your power consumption making it an eco-friendly solution for your business network.,TP-Link Network TL-SG1024D 24 Port Gigabit Desktop Switch Innovative energy-efficient technology saves power up to 20 percent Supports IEEE 802.3x flow control for Full-Duplex mode and backpressure for Half-Duplex mode Non-blocking switching architecture forwards and filters packets at full wire-speed for maximum throughput 48Gbps switching capacity 10k Jumbo frame improves performance of large data transfers Auto-MDI MDIX eliminates the need for crossover cables Store and forward switching scheme Auto-negotiation ports provide smart integration between 10Mbps 100Mbps and 1000Mbps hardware Desktop and rack-mountable design,TL-SG1024D,5.14,16.0 x 10.0 x 3.25 inches
620,16795672,89299700283.0,Giinii,Camera and Camcorder Accessories,GiiNii 7  Digital Picture Frame White Stardust,74.0,7  display Share files with SD card or thumb drive Supports JPEG image format,Show off your digital pictures in style on a flashy GiiNii Bling frame. Easy and fun to use a perfect solution for playing and organizing photos on one frame. GiiNii s Bling line of digital picture frames embodies the pizzazz missing from the competition. Available in three unique styles the Bling frames are a fabulously stylish and hip addition to any home. Aesthetics aside GiiNii Bling frames are perfect conversation starters and can do much more than show off hundreds of your favorite photos. The GiiNii Bling is an all inclusive frame play and organize photos on the frame s internal memory in to custom made albums or share an infinite number of memories on an external SD card or thumb drive.,GiiNii 7  display Internal memory Share files with SD card or thumb drive Supports JPEG image format Includes remote control Additional Features Play and organize photos Make custom albums Color White Stardust,GB-711P-B,2.05,11.65 x 7.56 x 3.07 inches
627,15142419,71706863307.0,Da-Lite,Electronics - General,Da-Lite Holoscreen Rear Projection Screen - 22 x 33 3 4 Video Format,1600.0,Specialty application rear projection screen. The Holo Screen is a holographic rear projection screen for point-of-sale applications in retail stores window displays airports banks and other high traffic areas. Available in sizes up to 69  x 101 the Holoscreen features an advanced holographic film that displays images rear projected from 18-35 degrees. The result is a remarkably bright and clear image   even in brightly lit environments. The transparent display allows viewers to look at and see through the screen.,,DL8411Specialty application rear projection screen.  The Holo Screen is a holographic rear projection screen for point-of-sale applications in retail stores window displays airports banks and other high traffic areas. Available in sizes up to 69 x 101 the Holoscreen features an advanced holographic film that displays images rear projected from 18-35 degrees. The result is a remarkably bright and clear image even in brightly lit environments. The transparent display allows viewers to look at and see through the screen.,20030,58.0,
629,15172342,88397451128.0,Toshiba,Electronics - General,Toshiba 14  Sling Extreme Laptop Backpack Black and Blue,29.0,Fits up to 14.1  laptops Single strap can be used on left or right shoulder Constructed of durable polyester polyester ripstop and dobby materials,The Toshiba 14  Sling Extreme Laptop Backpack.,Toshiba 14  laptops Single strap can be used on left or right shoulder Constructed of durable polyester polyester ripstop and dobby materials Water bottle pocket and zippered pouch on the sides Dual zippers on all compartments for easy access 3 compartments for general access accessories and the computer,PA1503U1SL3,1.4,16.0 x 11.0 x 4.5 inches
636,15860412,1820826256.0,Nikon,Digital Cameras,Nikon Coolpix P500 12.1MP Black Digital Camera 4-144mm Zoom Nikkor Lens 3  LCD Display HD Video w 50 Bonus Prints,389.44,12.1-megapixel resolution Nikkor 4.5-94.5mm zoom lens 19 scene modes,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value Zoom your world with the high-powered closeness of this Nikon Coolpix 12.1MP black digital camera. The Nikkor 36x optical zoom lens breaks boundaries with the incredible power to shoot closer and wider than ever before. Note Memory card not included. Purchase of a memory card is highly recommended.,Nikon Coolpix P500 12.1MP Digital Camera 12.1-megapixel resolution Delivers excellent picture quality Nikkor 4-144mm zoom lens Offers f 3.5 to f 5.7 aperture and features a Nikkor 36x optical zoom lens 3.0  TFT LCD display With anti-reflection coating you can view pictures and menus easily MPEG-4 AVC H.264 movie file format Record movies in 1080p full-HD format on this Nikon Coolpix 12.1MP black digital camera Continuous Shooting 5 shots at approximately 8 frames per second Get perfect action shots without sacrificing quality 19 scene modes Provide creative options for taking eye-catching photos with accurate color Red-Eye Fix Automatically fixes the problem    Memory Card Specifications Compatible SD SDHC SDXC memory cards Internal Memory 102MB 1 SD SDHC SDXC Slot  Upon purchase of this item you will receive a promotional email for bonus prints from Walmart.com. Go to the URL provided in the email anytime between 7 16 11 and 8 31 11. If you do not already have a Walmart.com photo account please create one so you can be credited for your prints. Enter the 16-digit code on your trial offer select the photo s of your choice and continue to checkout. Your redeemed credits will be applied upon an online purchase of 50 one-hour photo 4 x 6 print s available for pickup in your local Walmart Store. Each trial offer code can only be used once and must be redeemed prior to the offer expiration deadline of 12 31 11. If you have any questions please contact Walmart.com Customer Service at photo walmart.com.,26256,2.45,4.6 x 4.1 x 3.3 inches
642,8590870,87681800570.0,Elite Screens,Electronics - General,Elite ELECTRIC100H Screens Spectrum Electrol Projection Screen,160.0,Viewing Size h x w 49  Width,Elite ELECTRIC100H Screens Spectrum Electrol Projection Screen,Viewing Size h x w 49  Width,ELECTRIC100H,27.0,90.9 x 5.04 x 4.77 inches
646,12483009,73464627567.0,Lexmark,Printers,Lexmark Prospect Pro205 Wireless-N All-in-One Printer Scanner Copier Fax,128.54,Prints at speeds up to 33 pages per minute in black  Prints photos from compatible cameras flash drives and memory cards  Maximum duty cycle of 5000 pages per month,Print wirelessly from where you work best using Wireless-N technology with the Lexmark Prospect. Wi-Fi protected setup makes connecting easier and more secure. Finish urgent print jobs with speeds up to 33 ppm. Save paper and money with Eco mode for one-touch automatic two-sided printing. View a photo on the vibrant 2.4  color LCD and print it in just 24 seconds.,Print Technology Thermal Inkjet  Color Technology 4-Color Inkjet - Cyan Magenta Yellow Black  Scan Technology CIS with 48-bit depth  Function Color Copying Color Printing Color Scanning Faxing  Maximum Print Speed Draft Black Up to 33 ppm  Maximum Print Speed Draft Color Up to 30 ppm  Maximum Print Speed Normal Black Up to 18 ppm  Maximum Print Speed Normal Color Up to 11 ppm  Maximum Copy Speed Draft Black Up to 25 cpm  Maximum Copy Speed Draft Color Up to 21 cpm  Print Resolution Black Up to 2400 x 1200 dpi   Print Resolution Color Up to 4800 x 1200 dpi   Operating Systems Supported Microsoft Windows XP Microsoft Windows XP Professional x64 Microsoft Windows Vista Microsoft Windows 2000 5.00.2195 or later Microsoft Windows Vista x64 Apple Mac OS X 10.4.4-10.5.x Intel PowerPC Apple Mac OS X 10.3.9 Power PC Linux Microsoft Windows 7  ADF Input Paper Sizes A4 Legal Letter  ADF Paper Input Capacity Up to 35 pages 20 lb or 75 gsm bond  Print ASF Paper Input Capacity Maximum 100 pages 20 lb or 75 gsm bond  Media Types Supported Card Stock Envelopes Labels Plain Paper Transparencies Banner A4 or Letter Hagaki Card Iron-On Transfers Photo Paper Heavy Weight Matte Paper  Media Sizes Supported 10 Envelope 7 3 4 Envelope 9 Envelope A4 A5 B5 Envelope C5 Envelope DL Envelope 6 3 4 Envelope A2 Baronial A6 Card B5 C6 Envelope Custom Up to 8.5   Borderless Printing Media Sizes 4   Standard Ports USB 2.0 Specification Hi-Speed Certified Type B USB pass-through via PictBridge Port 802.11 b g n Wireless  PictBridge Certified USB Port Yes   Digital Media Memory Card Compatibility Sony Memory Stick Memory Stick PRO Secure Digital SD Card MultiMediaCard MMC xD Card Sony Memory Stick Duo with adapter Mini Secure Digital Mini SD Card with adapter Sony Memory Stick PRO Duo with adapter SanDisk TransFlash Memory Module with adapter RS-MMC with adapter xD Card Type M Type H MultiMediaCard MMC Mobile with adapter Micro Secure Digital Micro SD Card with adapter Secure Digital High Capacity SDHC Card with adapter Reduce Enlarge Range 25 - 400 Scan Area Maximum 8.5 x 14 inches  Modem Speed 33.6 Kbps  Size in. - H x W x D 8.03 x 18.78 x 14.09 in.  Weight lb. 17.56 lb.  Print Noise Level Operating 50 dBA  Scan Noise Level Operating 47 dBA  Copy Noise Level Operating 47 dBA  Duty Cycle Maximum 5000 pages per month  Product Warranty 5-year warranty. 1-year limited warranty and 4-year extended warranty by registering within 90 days.,Lexmark Pro205,17.74,18.78 x 14.09 x 8.03 inches
648,13056369,88358559570.0,HP,Printers,HP CE25 Toner 7000 Page-Yield,367.24,Cyan color Ink  Page yield 7 000 pages  Compatible with the HP LaserJet CP3525 and CM3530 MFP printers,This toner cartridge is designed for use with Hewlett-Packard CLJ CP3525 and CLJ CM3530 MFP Series. Yields 7 000 pages.,Cyan color Ink  Page yield 7 000 pages  Compatible with the HP LaserJet CP3525 and CM3530 MFP printers,CE251A,3.84,
649,13074766,65059015542.0,Lexar Media,USB Drives,Lexar Media LMSPD8GBBSBNA 8GB Platinum II Memory Stick PRO Duo Card,22.99,Form Factor Memory Stick PRO Duo  8GB,Lexar Media LMSPD8GBBSBNA 8GB Platinum II Memory Stick PRO Duo Card,Form Factor Memory Stick PRO Duo  8GB,LMSPD8GBBSBNA,0.5,6.9 x 4.9 x 0.4 inches
656,14915945,7278211201.0,Avery,Stationery &amp; Office Machinery,Avery Style Edge Insertable Reference Dividers with 8 Tabs,5.47,3-hole punch for use in standard binders Tabs insert from the side Translucent plastic tabs,Avery Style Edge Insertable Reference Dividers with 8 Tabs are great for filing and classifying documents. The tabs insert from the side and provide a secure fit. Avery Style Edge Insertable Reference Dividers are a professional choice for your home or office needs.,Avery Style Edge Insertable Reference Dividers with 8 Tabs 3-hole punch for use in standard binders Tabs insert from the side Unique tab design features translucent plastic Easy to use with free Avery templates software,11201,0.366,
657,10930657,1380306471.0,Canon,Photography - General,Canon AC Adapter Kit For Powershot-SD900 SD800IS SD700IS,52.88,Compatible with  the Powershot-SD900 SD800IS SD700IS,,Compatible with  the Powershot-SD900 SD800IS SD700IS  Kit includes AC Adapter CA-DC10 and DC Coupler DR30 Provides uninterrupted power for shooting or downloading,ACK-DC30,0.85,8.0 x 3.25 x 2.0 inches
659,15172589,67260304006.0,KEYSPAN,Electronics - General,Keyspan USB Twin Serial Adapter,70.73,Supports data rates up to 1Mbps USB powered 2 x RS-422 ports,Our USB Twin Serial Adapter is recommended by dozens of serial device manufacturers and has been certified by Apple for use with Final Cut Pro.,Keyspan USB Twin Serial Adapter Supports data rates up to 1Mbps USB powered 2 x RS-422 ports,USA-28XG,0.25,9.75 x 6.5 x 2.5 inches
660,16898498,1253431002.0,REDI-TAG CORPORATION,Stationery &amp; Office Machinery,REDI-TAG CORPORATION                               Side-Mount Self-Stick Plastic Index Tabs Nos 11-20 1in WE 104 pack,1.99,Heavy-duty plastic tabs won t curl or tear Attach to side of page for easy viewing. Blank  write-on  tabs preprinted numerical and alphabetical tabs. Permanent adhesive. White. 1 2 x 1. File Insert Tab Type N A Global Product Type File Inserts Tabs Tab Cut N A Color s White.PRODUCT DETAILS -Quantity 104 per pack. -Global Product Type File Inserts Tabs. -Post-Consumer Recycled Content Percent 0 pct. -File Inserts Tabs Special Features Permanent Adhesive Preprinted 11 Thru 20. -Color s White. -Pre-Consumer Recycled Content Percent 0 pct. -Total Recycled Content Percent 0 pct. -Tab Material s Plastic.,,UIQ1014Heavy-duty plastic tabs won t curl or tear Attach to side of page for easy viewing. Blank write-on tabs preprinted numerical and alphabetical tabs. Permanent adhesive. White. 1 2 x 1. File Insert Tab Type N A Global Product Type File Inserts Tabs Tab Cut N A Color s White.   PRODUCT DETAILS Quantity 104 per pack Global Product Type File Inserts Tabs Post-Consumer Recycled Content Percent 0 pct File Inserts Tabs Special Features Permanent Adhesive Preprinted 11 Thru 20 Color s White Pre-Consumer Recycled Content Percent 0 pct Total Recycled Content Percent 0 pct Tab Material s Plastic,,0.03,
662,14972531,8585421855.0,Case Logic,Electronics - General,Case Logic 16  Laptop Backpack,39.99,Case Logic 16  screens in a designated compartment Expansion slits display a touch of complementary color Front pocket expands to comfortably carry power cords a mouse or other accessories Internal pockets ensure essential organization Designated loops keep your pens and keys securely in place and easy to locate Innovative strap management system keeps excess strap material rolled up secured in place and out of your way Available in Asia Pacific Europe Latin America US,,The more you pack the more color you see. This unique backpack is designed for laptops with 15.4-16  screens in a designated compartment  Expansion slits display a touch of complementary color  Front pocket expands to comfortably carry power cords a mouse or other accessories  Internal pockets ensure essential organization  Designated loops keep your pens and keys securely in place and easy to locate  Innovative strap management system keeps excess strap material rolled up secured in place and out of your way  Available in Asia Pacific Europe Latin America US,154710,1.71,19.0 x 13.5 x 6.5 inches
665,15172788,88391919825.0,Adobe,Software,Adobe Photoshop and Premiere Elements 9 Windows and Mac,140.7,Create extraordinary photos Make home movies with professional sound effects Share movies on disc over the internet and virtually anywhere else,Adobe Photoshop and Premiere Elements 9 delivers powerful options that make it easy to use photos and videos together and share them in entertaining ways. You ll enjoy a complete solution for photos and videos for both Windows and Mac with Adobe Photoshop and Premiere Elements 9.,Adobe Photoshop and Premiere Elements 9 Create extraordinary photos and quickly share them in unique cards scrapbook pages photo books online albums and more Make home movies with professional sound effects Share movies on disc over the internet and virtually anywhere else Creatively combine photos and videos to tell entertaining stories Easily upload to Facebook Automatically organize all your photos and video clips from a convenient place,65087226,0.4,7.9 x 7.2 x 1.8 inches
666,15143617,71706862237.0,Da-Lite,Electronics - General,Da-Lite Video Spectra 1.5 Model B Manual Screen with CSR - 69 x 92 Video Format,429.99,Features -Offered exclusively by Da-Lite the Controlled Screen Return CSR system adds an impressive feature to the ever-popular Model B design..-The CSR system ensures the quiet controlled return of the screen into the case providing optimal performance and smooth consistent operation. Screens with the CSR feature must be fully extended. There are not intermediate stopping positions..-Pull cord included.. Screen Material Video Spectra 1.5 This screen surface is specially designed with a reflective coating which provides an increased amount of brightness with a moderately reduced viewing angle. The increased gain of this surface makes it suitable for environments where ambient lighting is uncontrollable and a projector with moderate light output is utilized. Flame retardant and mildew resistant. Viewing Angle 35  Gain 1.5,,DL6533 Features Offered exclusively by Da-Lite the Controlled Screen Return CSR system adds an impressive feature to the ever-popular Model B design. The CSR system ensures the quiet controlled return of the screen into the case providing optimal performance and smooth consistent operation. Screens with the CSR feature must be fully extended. There are not intermediate stopping positions. Pull cord included.    Screen Material Video Spectra 1.5  This screen surface is specially designed with a reflective coating which provides an increased amount of brightness with a moderately reduced viewing angle. The increased gain of this surface makes it suitable for environments where ambient lighting is uncontrollable and a projector with moderate light output is utilized. Flame retardant and mildew resistant. Viewing Angle 35 Gain 1.5,85322,32.0,
670,15641719,5465117400.0,Creative Labs,Electronics - General,Creative Labs Sound Blaster Tactic3D Alpha,59.99,Dual mode analog or USB THX TruStudio Pro technology VoiceFX technology,Experience the evolution of 3D gaming audio with the Sound Blaster Tactic3D Alpha gaming headset. Acoustically optimized 40mm drivers combine with THX TruStudio Pro technology to transform everyday audio into a mind-blowing cinematic experience. Touchscreen software and Tactic Profiles allow you to save and share your favorite settings including THX TruStudio Pro Surround for immersive 360-degree headphone surround and VoiceFX voice morphing technology. The dual mode design allows you to connect via standard minijacks or use the Dual Mode adapter to connect to your PC or Mac s USB port for the full THX TruStudio Pro experience.,Creative Labs Sound Blaster Tactic3D Alpha Dual mode analog or USB THX TruStudio Pro technology Touchscreen controls TacticProfile technology VoiceFX technology,GH012000003,1.45,13.2 x 10.9 x 5.8 inches
675,16351897,4801155654.0,3M,Home Care,3m Easy Trap 8 x 125 Duster,74.97,,Disposable duster designed to trap dirt.,Specially developed disposable hold six times more dust dirt sand and hair than traditional mops and other disposable systems Works on any hard surface Low drag reduces worker fatigue Use both sides of the duster without touching it Holder sold separately,55654,5.38,21.8 x 21.8 x 12.9 inches
678,16541387,63924713522.0,iLuv,Electronics - General,jWIN Caf Nites In-Ear Earphones Blue,9.88,Ultra-compact lightweight and fashionable design Splash and sweat proof Ideal for digital devices such as iPod iPhone MP3 and CD players,These comfortable in-ear earphones are built with high-performance speakers for extended frequency range lower distortion and high power handling.,jWIN Caf Nites In-Ear Earphones Features high-performance speakers for extended frequency range lower distortion and high power handling Ultra-compact lightweight and fashionable design Splash and sweat proof Ideal for digital devices such as iPod iPhone MP3 and CD players Adjustable cord slider for maximum comfort 3.5mm nickel-plated stereo plug,IEP222BLU,5.5,8.0 x 2.4 x 1.1 inches
679,16541506,4732303911.0,iLive,Electronics - General,iLive App-Enhanced Boom Box with iPod iPhone Dock,63.88,Compatible with all iPhone models Plays and charges iPods and iPhones App enhanced design,The iLive App-Enhanced Boom Box with iPod iPhone Dock is the perfect portable accessory for the avid music fan.,iLive App-Enhanced Boom Box with iPod iPhone Dock Compatible with all iPhone models Plays and charges iPods and iPhones App enhanced design Negative LCD display Translucent handle design Line input AC power includes standard battery,iBP391B,3.6708,13.77 x 8.66 x 5.11 inches
682,11017078,79643521741.0,Optoma,Monitors,Optoma BL-FP200C Replacement Projector Lamp for HD70 Home Theater Projector,264.84,Lamp Life 3000 Hour                            Fits HD70,Lamp Life 3000 Hour                            Fits HD70,,BL-FP200C,0.7,6.3 x 6.2 x 5.0 inches
686,13029052,66291901678.0,Targus,Electronics - General,V7 Executive Leather Case for 15.4  Laptops Black By Targus,29.84,Padded notebook computer compartment  Accessory pocket  Detachable shoulder strap,,Fits most laptops with screens measuring up to 15.4 inches diagonally  Exterior material Leather  Padded notebook computer compartment  Accessory pocket for mobile phone PDA sunglasses pens CDs keys and business cards  Expanding file section for documents  Front pocket for flight tickets and passport  Dual-pull self-healing nylon zippers  Detachable shoulder strap with cushioned pad   Sturdy carrying handle  Exterior dimensions 14.5 x 17 x 5-inches H x W x D approximate,ONT224US,3.3,17.0 x 14.25 x 3.5 inches
690,14249624,64109211179.0,Draper,Electronics - General,Draper Glass Beaded Signature Series E Electric Screen  - HDTV 133 diagonal,2375.95,Signature Series E ceiling-recessed electric projection screen. Independently motorized aluminum ceiling closure disappears into the white case when screen is lowered. Hinges are completely concealed. The closure is supported for its entire length preventing the possibility of sag. Features -Clean appearance of a ceiling-recessed screen..-Black borders standard on all formats optional on AV ..-Depending on surface available in sizes through 16 x 16 and 240 NTSC..-Custom sizes available..-Warranted for one year against defects in materials and workmanship.. Screen Material Glass Beaded Brighter on-axis viewing than matt white surfaces within a narrower viewing cone. Some loss of clarity. Not for use with ceiling or floor mounted projectors. Flame and mildew resistant but cannot be cleaned. Now available seamless in all standard sizes through 10 high.,,DR4222Signature Series E ceiling-recessed electric projection screen. Independently motorized aluminum ceiling closure disappears into the white case when screen is lowered. Hinges are completely concealed. The closure is supported for its entire length preventing the possibility of sag.   Features Clean appearance of a ceiling-recessed screen. Black borders standard on all formats optional on AV . Depending on surface available in sizes through 16 x 16 and 240 NTSC. Custom sizes available. Warranted for one year against defects in materials and workmanship.    Screen Material Glass Beaded  Brighter on-axis viewing than matt white surfaces within a narrower viewing cone. Some loss of clarity. Not for use with ceiling or floor mounted projectors. Flame and mildew resistant but cannot be cleaned. Now available seamless in all standard sizes through 10 high.,111374,178.0,
693,15229330,70538120151.0,Encore,Software,Encore Mavis Beacon Keyboarding Kidz,19.98,250 keyboarding lessons including 10 keys 200 practice session topics 10 typing games,Encore Mavis Beacon Keyboarding Kidz is perfect for children and tweens who are either learning to touch type or want a fun way to improve their keyboarding skills.,Encore Mavis Beacon Keyboarding Kidz 250 keyboarding lessons including 10 keys 200 practice session topics 10 typing games Customizable music selection Detailed curriculum map Progress tracking by individual key Printable awards,20151,0.15,8.0 x 5.5 x 1.5 inches
697,14922563,2120050204.0,,Stationery &amp; Office Machinery,Post-it Notes Original Lined Notes 4 x 4 Canary Yellow 300 Sheets,5.94,Self-adhesive Canary yellow color For reminding about dates,Use the Post-it Notes Original Lined Notes as a way to keep yourself reminded of important dates. The Post-it Notes Original Lined Notes are self-sticking removable notes.,Post-it Notes Original Lined Notes Comes in canary yellow Size 4  Self-sticking and removable Perfect for reminding about important dates Includes 300 sheets,675YL,0.525,
698,14922753,7251208978.0,Pentel,Stationery &amp; Office Machinery,Pentel EZ 2 Automatic Pencil HB 0.70 mm 5 Black and 5 Blue Barrels 10 Pack,5.69,Fixed sleeve Lightweight barrel Refillable,The Pentel EZ 2 Automatic Pencil produces a smooth crisp medium line with dark imprints for easy reading. The sleek lightweight barrel and convenient pocket clip make this pencil an easy travel companion. The 3 mm sleeve protects lead when not in use.,Pentel EZ 2 Automatic Pencil Produces a smooth and crisp line Dark imprints Sleek lightweight barrel Pocket clip and eraser included 3 mm fixed sleeve Retractable Refillable HB 2 .7 mm lead Color Black blue,AX17BP10K6,0.176,
707,15747211,74061717408.0,Kingston,Memory,Kingston HyperX Blu 2GB DDR2 Desktop Memory Module,34.72,Memory Size 2GB Double-data-rate architecture High performance heat spreader,The Kingston HyperX Blu 2GB DDR2 Desktop Memory Module has gold-plated contact fingers for an optimum connection. It features a double-data-rate architecture and completes two data transfers per clock cycle.,Kingston HyperX Blu 2GB DDR2 Desktop Memory Module Memory Size 2GB Double-data-rate architecture Programmable Burst type Differential clock inputs Edge aligned data output Center aligned data output High performance heat spreader,KHX6400D2B1/2G,0.13,6.75 x 2.25 x 0.55 inches
714,16517909,68796713219.0,ROXIO,Software,Roxio Easy CD and DVD Burning 2011 Windows,27.88,Easily rip play edit organize and burn digital music Copy CDs and DVDs with 1 click Drag-and-drop photo tools,Let your burner have some fun with Roxio Easy CD and DVD Burning. Now features faster burning safer back-up fun music CD mixes and drag-and-drop easy photo tools.,Roxio Easy CD and DVD Burning 2011 Windows CD DVD burning software for faster burning and safer back-ups Easily rip play edit organize and burn digital music Copy CDs and DVDs with 1 click Drag-and-drop photo tools For Windows 7 Vista XP,249000,0.24,7.5 x 5.38 x 1.25 inches
717,16563216,65053002354.0,AT T,Phones,AT T CL81211 DECT 6.0 Digital 2-Handset Cordless Telephone,49.98,DECT 6.0 technology Push-To-Talk HD audio,The AT T CL81211 DECT 6.0 Digital 2-Handset Cordless Telephone features DECT 6.0 technology for clear digital calling. HD audio takes your phone calls to the next level. Use up to 4 handsets on one call.,AT T CL81211 DECT 6.0 Digital 2-Handset Cordless Telephone DECT 6.0 technology Push-To-Talk HD audio Speakerphone Use up to 4 handsets Table Wall mountable,CL81211,1.12,8.5 x 7.0 x 6.87 inches
718,16562370,4216742000.0,Alera,Electronics - General,Alera LCD CRT Mobile Computer Security Cabinet 26w x 24d x 63h Light Gray,524.99,Heavy-duty all-welded steel construction with three locking compartments. Upper compartment has a clear acrylic window and mounting bracket for monitor. Pull-out center compartment secures keyboard and mouse. Lower compartment features an adjustable pull-out printer shelf plus bottom storage shelf. Locking full rear door permits easy access to equipment and includes ventilation holes and 2 grommet for cable management. Four swivel casters two locking for mobility. Color s Light Gray Width 26 in Depth 24 in Height 63 in.PRODUCT DETAILS -Height Nom 63 in. -Depth Nom 24 in. -Width Nom 26 in. -Caster Glide Wheel Type Four Swivel Casters 2 Locking . -Caster Wheel Size Nom 5 in. -Number of Shelves Nom 4. -Number of Wheels Nom 4. -Total Recycled Content Percent Nom 70 pct. -Global Product Type Carts   Stands-Computer Fax Printer Cart. -Material s Welded Steel. -Shelf Material Welded Steel. -Compliance Standards Meets or exceeds ANSI BIFMA standards. -Color s Light Gray. -Cart Type CPU. -Number of Doors Nom 3. Product is made of at least partially recycled materialGreen Product Extra Assembly Required,,ALR2884Heavy-duty all-welded steel construction with three locking compartments. Upper compartment has a clear acrylic window and mounting bracket for monitor. Pull-out center compartment secures keyboard and mouse. Lower compartment features an adjustable pull-out printer shelf plus bottom storage shelf. Locking full rear door permits easy access to equipment and includes ventilation holes and 2 grommet for cable management. Four swivel casters two locking for mobility. Color s Light Gray Width 26 in Depth 24 in Height 63 in.   PRODUCT DETAILS Height Nom 63 in Depth Nom 24 in Width Nom 26 in Caster Glide Wheel Type Four Swivel Casters 2 Locking Caster Wheel Size Nom 5 in Number of Shelves Nom 4 Number of Wheels Nom 4 Total Recycled Content Percent Nom 70 pct Global Product Type Carts   Stands-Computer Fax Printer Cart Material s Welded Steel Shelf Material Welded Steel Compliance Standards Meets or exceeds ANSI BIFMA standards Color s Light Gray Cart Type CPU Number of Doors Nom 3  Product is made of at least partially recycled material     Green Product Extra Assembly Required,ALECC616326LG,130.0,63.0 x 26.0 x 24.0 inches
720,11037629,82916012622.0,HP,Printers,HP Q6511A HP 11A Toner 6000 Page-Yield Black,191.03,Get your printing right the first time and every time,Get your printing right the first time and every time,Approximate cartridge yield 6 000 standard pages declared yield value in accordance with ISO IEC 19752  Compatibility HP LaserJet 2420 and 2430 printers,Q6511A,4.19,
